Latitude,Longitude,Common Name,FEATUREITEM_ID,City Feature,Address,Website,Location
47.5782724270145,-122.384964699838,Hiawatha Playfield,,Parks,2700 California Ave SW,http://www.seattle.gov/parks/park_detail.asp?ID=456,"(47.5782724270145, -122.384964699838)"
47.527379719227,-122.349034022359,Highland Park Playground,,Parks,1100 SW Cloverdale St,http://www.seattle.gov/parks/park_detail.asp?ID=457,"(47.527379719227, -122.349034022359)"
47.5328049082455,-122.369545228851,E.C. Hughes Playground,,Parks,2805 SW Holden St,http://www.seattle.gov/parks/park_detail.asp?ID=458,"(47.5328049082455, -122.369545228851)"
47.5280159781691,-122.324158773464,South Park Playfield,,Parks,738 S Sullivan St,http://www.seattle.gov/parks/park_detail.asp?ID=467,"(47.5280159781691, -122.324158773464)"
47.5628255450167,-122.374348206809,West Seattle Stadium,,Parks,4432 35th Ave SW,http://www.seattle.gov/parks/park_detail.asp?ID=472,"(47.5628255450167, -122.374348206809)"
47.6752992033738,-122.283644144168,Bryant Neighborhood Playground,,Parks,4102 NE 65th St,http://www.seattle.gov/parks/park_detail.asp?ID=482,"(47.6752992033738, -122.283644144168)"
47.6666338602899,-122.282623001591,Burke-Gilman Playground,,Parks,5201 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=496,"(47.6666338602899, -122.282623001591)"
47.6727858650181,-122.391549848962,Ballard Playground,,Parks,2644 NW 60th St,http://www.seattle.gov/parks/park_detail.asp?ID=497,"(47.6727858650181, -122.391549848962)"
47.6641586884286,-122.332556754953,Meridian Playground,,Parks,4649 Sunnyside Ave N,http://www.seattle.gov/parks/park_detail.asp?ID=1104,"(47.6641586884286, -122.332556754953)"
47.5751951223366,-122.416054352165,Bar-S Playground,,Parks,6425 SW Admiral Way,http://www.seattle.gov/parks/park_detail.asp?ID=3703,"(47.5751951223366, -122.416054352165)"
47.6890145029702,-122.315612904851,Maple Leaf Playground,,Parks,1020 NE 82nd St,http://www.seattle.gov/parks/park_detail.asp?ID=3881,"(47.6890145029702, -122.315612904851)"
47.6472393920114,-122.379191275215,Interbay Athletic Complex,,Parks,3027 17th Ave W,http://www.seattle.gov/parks/park_detail.asp?ID=3887,"(47.6472393920114, -122.379191275215)"
47.6131107170061,-122.310543098826,T.T. Minor Playground,,Parks,17th Ave E and E Union St,http://www.seattle.gov/parks/park_detail.asp?ID=3913,"(47.6131107170061, -122.310543098826)"
47.5628975696743,-122.40712042032,Emma Schmitz Memorial Overlook,,Parks,4503 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3920,"(47.5628975696743, -122.40712042032)"
47.5726945845554,-122.29071342709,York Playground,,Parks,3327 34th Ave S,http://www.seattle.gov/parks/park_detail.asp?ID=3926,"(47.5726945845554, -122.29071342709)"
47.5401697408767,-122.373414932477,High Point Playfield,,Parks,6920 34th Ave SW,http://www.seattle.gov/parks/park_detail.asp?ID=3941,"(47.5401697408767, -122.373414932477)"
47.6455992268977,-122.359710617651,Queen Anne Bowl Playfield,,Parks,2806 3rd Ave W,http://www.seattle.gov/parks/park_detail.asp?ID=3984,"(47.6455992268977, -122.359710617651)"
47.7179550153166,-122.299373591493,Lake City Playground,,Parks,2750 NE 125th St,http://www.seattle.gov/parks/park_detail.asp?ID=4002,"(47.7179550153166, -122.299373591493)"
